page_no,status,method,chars,non_ws_chars,duration_ms,confidence_mean,confidence_words,attempt_count,error,searchable_pdf_page,source_kind,source_path,pdf_index
17,done,ocr,1994,1404,43591.35,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_07.pdf,16
18,done,ocr,1600,1002,39315.21,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_07.pdf,17
19,done,ocr,4197,870,43120.33,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_07.pdf,18
20,done,ocr,2022,1454,33990.6,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_07.pdf,19
21,done,ocr,876,599,38171.11,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_07.pdf,20
22,done,ocr,1651,1003,40982.05,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_07.pdf,21
23,done,ocr,1829,1340,40183.95,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_07.pdf,22
24,done,ocr,15755,2340,61693.24,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_07.pdf,23
25,done,ocr,3157,2484,34618.37,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_07.pdf,24
26,done,ocr,1963,1360,43450.32,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_07.pdf,25
27,done,ocr,2054,1428,44928.91,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_07.pdf,26
28,done,ocr,2063,1404,24368.23,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_07.pdf,27
