page_no,status,method,chars,non_ws_chars,duration_ms,confidence_mean,confidence_words,attempt_count,error,searchable_pdf_page,source_kind,source_path,pdf_index
1,done,ocr,2106,1473,45540.24,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_07.pdf,0
2,done,ocr,1783,1208,38827.18,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_07.pdf,1
3,done,ocr,2496,1627,43779.38,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_07.pdf,2
4,done,ocr,3132,1809,35445.21,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_07.pdf,3
5,done,ocr,1779,1281,39633.78,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_07.pdf,4
6,done,ocr,2131,1227,39347.48,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_07.pdf,5
7,done,ocr,2238,1464,41061.04,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_07.pdf,6
8,done,ocr,1076,712,38486.52,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_07.pdf,7
9,done,ocr,2002,1434,41231.17,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_07.pdf,8
10,done,ocr,2315,1732,42085.74,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_07.pdf,9
11,done,ocr,3257,1544,45020.95,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_07.pdf,10
12,done,ocr,2420,1693,43483.91,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_07.pdf,11
13,done,ocr,2155,1423,66356.79,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_07.pdf,12
14,done,ocr,2375,1674,43502.2,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_07.pdf,13
15,done,ocr,1467,1125,38878.92,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_07.pdf,14
16,done,ocr,2374,1711,40075.34,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_07.pdf,15
