page_no,status,method,chars,non_ws_chars,duration_ms,confidence_mean,confidence_words,attempt_count,error,searchable_pdf_page,source_kind,source_path,pdf_index
1,done,ocr,2064,1183,83618.45,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_10.pdf,0
2,done,ocr,1400,719,65113.49,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_10.pdf,1
3,done,ocr,1411,1014,59611.75,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_10.pdf,2
4,done,ocr,1115,645,74697.0,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_10.pdf,3
5,done,ocr,250,171,53984.67,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_10.pdf,4
6,done,ocr,1745,764,97755.15,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_10.pdf,5
7,done,ocr,7992,1937,113252.5,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_10.pdf,6
8,done,ocr,1383,783,229438.73,,0,2,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_10.pdf,7
9,done,ocr,2249,1702,56047.17,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_10.pdf,8
10,done,ocr,1161,837,51219.66,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_10.pdf,9
11,done,ocr,5972,3116,222111.14,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_10.pdf,10
12,done,ocr,2346,1292,179623.46,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_10.pdf,11
13,done,ocr,4267,1254,82659.86,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_10.pdf,12
14,done,ocr,1941,1084,78647.12,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_10.pdf,13
15,done,ocr,1586,597,65833.09,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_10.pdf,14
16,done,ocr,1556,592,70805.99,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_10.pdf,15
17,done,ocr,7246,1084,70082.78,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_10.pdf,16
