page_no,status,method,chars,non_ws_chars,duration_ms,confidence_mean,confidence_words,attempt_count,error,searchable_pdf_page,source_kind,source_path,pdf_index
1,done,ocr,1348,1023,43866.26,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_09.pdf,0
2,done,ocr,1844,1198,58373.65,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_09.pdf,1
3,done,ocr,671,532,38960.16,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_09.pdf,2
4,done,ocr,587,360,45662.39,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_09.pdf,3
5,done,ocr,458,319,42312.25,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_09.pdf,4
6,done,ocr,913,366,42124.35,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_09.pdf,5
7,done,ocr,1293,767,46085.73,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_09.pdf,6
8,done,ocr,521,359,33144.07,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_09.pdf,7
9,done,ocr,13175,7854,221794.81,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_09.pdf,8
10,done,ocr,2990,883,56606.07,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_09.pdf,9
