page_no,status,method,chars,non_ws_chars,duration_ms,confidence_mean,confidence_words,attempt_count,error,searchable_pdf_page,source_kind,source_path,pdf_index
1,done,ocr,2014,1523,45273.73,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_08.pdf,0
2,done,ocr,2191,1451,47353.66,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_08.pdf,1
3,done,ocr,2121,1548,44744.47,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_08.pdf,2
4,done,ocr,2982,2081,46880.59,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_08.pdf,3
5,done,ocr,2777,2028,48519.91,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_08.pdf,4
6,done,ocr,1750,1146,41135.16,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_08.pdf,5
7,done,ocr,1779,1153,42644.16,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_08.pdf,6
8,done,ocr,2062,1544,42658.71,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_08.pdf,7
9,done,ocr,1689,1243,42284.54,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_08.pdf,8
10,done,ocr,2240,1584,47614.73,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_08.pdf,9
11,done,ocr,3223,2446,62599.37,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_08.pdf,10
12,done,ocr,123,69,32769.69,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_08.pdf,11
13,done,ocr,1063,741,38070.67,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_08.pdf,12
14,done,ocr,1419,917,40815.33,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_08.pdf,13
15,done,ocr,4256,660,49930.04,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_08.pdf,14
16,done,ocr,1198,815,46060.11,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_08.pdf,15
17,done,ocr,2064,1007,43027.29,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_08.pdf,16
18,done,ocr,2568,1467,43380.99,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_08.pdf,17
19,done,ocr,2221,1707,44810.89,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_08.pdf,18
20,done,ocr,1501,748,40218.71,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_08.pdf,19
21,done,ocr,1362,920,43232.03,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_08.pdf,20
22,done,ocr,1932,1250,47118.75,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_08.pdf,21
23,done,ocr,1124,827,41596.14,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_08.pdf,22
24,done,ocr,2130,1362,45089.97,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_08.pdf,23
25,done,ocr,7876,1892,54127.66,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_08.pdf,24
26,done,ocr,1479,1038,30604.85,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_08.pdf,25
27,done,ocr,15116,1315,60962.48,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_08.pdf,26
28,done,ocr,752,567,44467.8,,0,1,,,pdf,C:\Users\zakaria\Documents\PROJET KHAWARIZMI IA\khawarizmi-backend\data\ANNALES_SVT_BAC_ALGERIE\KHELIFA_1\VOLUMES_KHELIFA1\KHELIFA1_VOLUME_08.pdf,27
